"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ENSG00000008405.12" 158 245 801 372 213 414 973 1147 773 738 874 636 770 804
"ENSG00000008438.5" 0 0 0 0 0 0 3 3 1 0 7 3 1 0
"ENSG00000008441.16" 115 158 428 312 185 331 691 741 246 214 635 477 127 146
"ENSG00000008513.16" 1304 2186 5954 6478 3100 6390 5868 7270 2506 2526 5428 4420 1654 1813
"ENSG00000008516.17" 1 8 7 10 7 16 19 19 23 22 13 9 48 71
"ENSG00000008517.16" 691 1651 3171 4259 2045 4126 1121 1166 1007 1038 1004 764 1513 1541
"ENSG00000008710.20" 249 556 1457 762 411 897 1810 1472 533 584 1539 1158 366 417
"ENSG00000008735.14" 27 83 146 107 52 127 108 119 76 83 92 68 42 38
"ENSG00000008838.20" 2399 4832 10808 5272 2507 5735 10796 11066 4097 4026 9545 7514 2999 3275
"ENSG00000008853.16" 134 291 677 224 105 219 608 606 224 202 563 414 222 243
"ENSG00000008869.12" 166 194 572 363 169 364 1316 1869 878 809 1260 996 534 574
"ENSG00000008952.17" 1795 2263 5437 3343 1945 2936 9914 12753 2786 2678 9490 7431 2224 2447
"ENSG00000008988.9" 3341 7515 15405 7137 3655 7352 13128 15520 3442 3204 12108 9333 6700 7071
"ENSG00000009307.16" 3423 5380 13271 7332 4092 6728 16754 21962 5381 4904 16065 12286 8103 8494
"ENSG00000009335.18" 866 1498 3700 1777 967 1753 6950 8787 3360 3250 6565 5167 2720 2792
"ENSG00000009413.16" 187 245 636 501 302 504 1947 2622 2284 2180 1932 1523 2019 2083
"ENSG00000009694.13" 0 2 4 1 0 0 5 6 3 4 6 7 8 11
"ENSG00000009709.12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000009724.17" 0 0 0 0 0 1 38 57 12 13 59 43 9 10
"ENSG00000009765.14" 7 4 16 9 2 7 43 45 55 59 32 26 31 36
"ENSG00000009780.15" 40 80 166 207 102 153 213 252 180 200 181 156 106 117
"ENSG00000009790.15" 0 0 0 0 0 0 5 12 4 6 10 6 4 13
"ENSG00000009830.11" 154 287 721 192 74 194 793 927 481 458 710 552 474 482
"ENSG00000009844.16" 394 527 1515 621 320 602 2181 2791 597 606 1990 1615 971 1040
"ENSG00000009950.16" 4 17 23 23 9 20 244 233 148 155 263 221 65 66
"ENSG00000009954.11" 479 753 2084 1017 616 944 4036 5171 2266 2282 3760 2886 2199 2251
"ENSG00000010017.13" 134 213 525 272 166 273 822 1091 413 417 831 620 306 341
"ENSG00000010030.14" 4 25 45 634 291 671 16 13 129 134 19 14 33 21
"ENSG00000010072.16" 115 154 473 183 107 221 540 685 356 303 485 371 297 348
"ENSG00000010165.20" 518 973 2302 756 341 809 1857 2150 601 595 1676 1275 760 778
"ENSG00000010219.13" 105 223 357 214 79 215 351 448 117 101 331 258 87 88
"ENSG00000010244.18" 1175 1623 4170 2334 1235 2161 7609 9851 3575 3618 7039 5598 2219 2290
"ENSG00000010256.11" 1298 2881 5896 1810 940 1980 5200 5786 1419 1266 4730 3497 1437 1498
"ENSG00000010270.13" 824 1408 3142 2098 1228 1933 2881 3750 1511 1485 2769 2129 1488 1548
"ENSG00000010278.14" 1858 3751 8364 4412 2212 4361 5544 6943 1502 1418 5545 4142 922 1062
"ENSG00000010282.15" 0 0 0 0 0 0 0 0 0 0 0 0 1 2
"ENSG00000010292.13" 1322 2353 5731 1152 631 1268 8559 10494 1679 1669 7544 6022 1257 1327
"ENSG00000010295.19" 0 2 11 2 0 2 6 7 1 6 11 4 13 11
"ENSG00000010310.9" 29 56 124 87 34 92 81 116 93 93 99 76 25 25
"ENSG00000010318.21" 13 23 67 15 5 19 81 86 17 19 60 47 6 11
"ENSG00000010319.7" 10 14 15 6 1 7 25 23 5 6 18 22 2 3
"ENSG00000010322.16" 224 518 1072 508 294 529 2065 2119 1000 989 1807 1476 979 1073
"ENSG00000010327.10" 0 3 1 2 0 0 7 7 1 2 5 2 9 12
"ENSG00000010361.14" 73 185 309 94 48 145 483 450 88 97 378 312 111 108
"ENSG00000010379.16" 0 5 12 9 11 10 7 15 37 36 13 14 66 58
"ENSG00000010404.18" 1309 1916 5178 2841 1491 2770 5479 7198 2456 2588 5147 3996 3089 3511
"ENSG00000010438.16" 137 322 678 183 104 222 989 1089 444 352 843 672 306 290
"ENSG00000010539.11" 100 163 310 300 154 336 577 710 484 406 517 396 443 438
"ENSG00000010610.10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000010626.15" 61 146 263 127 68 129 178 241 64 55 166 144 29 42
"ENSG00000010671.15" 0 0 0 0 0 0 0 0 0 0 0 0 1 2
"ENSG00000010704.18" 274 450 1066 393 260 385 1076 1326 329 344 1065 849 137 149
