Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
HARLEQUIN_2q12.2	0	0	0	0	0	0
HARLEQUIN_2q12.3	0	5	0	2	0	11
HARLEQUIN_2q14.1	0	0	2	0	2	0
HARLEQUIN_2q21.2	0	0	0	0	0	0
HARLEQUIN_2q32.1	0	2	4	5	4	7
HARLEQUIN_2q33.3	0	0	0	0	0	0
HARLEQUIN_2q34	0	2	5	0	1	0
HARLEQUIN_3p11.2	2	4	0	4	5	6
HARLEQUIN_3p12.3	0	0	1	0	0	0
HARLEQUIN_3p24.3	0	0	0	0	0	0
HARLEQUIN_3p26.1	0	0	1	1	1	0
HARLEQUIN_3q22.1a	0	0	0	1	0	0
HARLEQUIN_3q22.1b	0	0	0	2	1	0
HARLEQUIN_3q22.1c	0	0	1	3	2	2
HARLEQUIN_3q22.2	0	0	3	0	0	1
HARLEQUIN_3q26.1	0	0	0	0	0	0
HARLEQUIN_4p12	0	0	0	0	0	0
HARLEQUIN_4p14a	0	0	1	0	0	0
HARLEQUIN_4p14b	0	0	0	0	1	0
HARLEQUIN_4p15.2	26	9	30	15	9	20
HARLEQUIN_4q13.2a	0	0	0	0	0	1
HARLEQUIN_4q13.2b	58	103	229	130	69	142
HARLEQUIN_4q13.3	11	15	51	12	6	18
HARLEQUIN_4q22.1a	6	5	16	17	12	8
HARLEQUIN_4q22.1b	0	0	0	0	0	0
HARLEQUIN_4q24	0	0	0	0	0	0
HARLEQUIN_4q26	0	0	0	0	0	0
HARLEQUIN_4q28.2	0	0	0	0	0	0
HARLEQUIN_4q32.1	0	0	1	0	0	0
HARLEQUIN_4q34.1	0	0	0	0	0	0
HARLEQUIN_5p12a	0	0	1	1	0	9
HARLEQUIN_5p12b	0	0	0	0	0	0
HARLEQUIN_5p13.2	0	0	0	0	0	0
HARLEQUIN_5p14.2	0	0	0	0	0	0
HARLEQUIN_5q12.3	0	1	0	4	3	4
HARLEQUIN_5q14.2	32	63	73	35	14	42
HARLEQUIN_5q23.1	1	1	0	0	0	1
HARLEQUIN_5q31.2	0	0	0	0	0	2
HARLEQUIN_5q33.3	0	0	0	0	0	0
HARLEQUIN_5q34a	0	0	0	0	0	0
HARLEQUIN_5q34b	0	1	0	4	0	0
HARLEQUIN_6p12.3	3	4	7	2	13	5
HARLEQUIN_6p21.31	2	4	17	12	13	17
HARLEQUIN_6p21.32	0	0	0	0	0	0
HARLEQUIN_6p21.33	106	134	465	227	140	224
HARLEQUIN_6p22.2	0	0	0	0	0	0
HARLEQUIN_6p25.2	0	0	0	0	0	0
HARLEQUIN_6q13	0	0	0	0	0	0
HARLEQUIN_6q21	4	0	12	3	0	7
HARLEQUIN_6q23.1	0	0	2	0	0	0
HARLEQUIN_7p12.1	0	0	0	0	0	0
HARLEQUIN_7p14.3	0	0	0	0	0	0
HARLEQUIN_7p15.3	5	6	28	22	8	16
HARLEQUIN_7p21.3	0	0	0	0	0	0
HARLEQUIN_7p22.1	0	3	4	2	7	6
HARLEQUIN_7q22.1	1	1	14	8	0	9
HARLEQUIN_7q32.1a	0	0	0	2	0	0
HARLEQUIN_7q33a	20	25	71	76	41	84
HARLEQUIN_7q33b	0	0	0	0	0	0
HARLEQUIN_8p11.21	0	3	0	0	0	1
HARLEQUIN_8p21.2	1	0	2	0	0	0
HARLEQUIN_8q11.23b	0	0	0	0	0	0
HARLEQUIN_8q12.1a	0	0	0	0	0	0
HARLEQUIN_8q12.1b	0	0	0	0	0	0
HARLEQUIN_8q24.3	0	0	0	0	0	0
HARLEQUIN_9p21.1	0	0	0	0	0	0
HARLEQUIN_9q21.33	0	0	0	0	0	0
HARLEQUIN_Xp11.22	0	0	0	0	0	0
HARLEQUIN_Xp11.23	0	0	0	3	0	0
HARLEQUIN_Xp22.2	17	19	33	46	27	26
HARLEQUIN_Xq11.1	0	0	0	0	0	1
HARLEQUIN_Xq12	0	0	0	0	0	0
HARLEQUIN_Xq13.3	0	0	0	0	0	0
HARLEQUIN_Xq21.1	0	0	0	0	0	0
HARLEQUIN_Xq23a	0	3	0	7	3	7
HARLEQUIN_Xq23b	0	3	4	0	1	3
HARLEQUIN_Xq24	0	0	0	0	0	0
HARLEQUIN_Xq28	0	0	0	0	0	0
HARLEQUIN_Yq11.21	0	0	0	0	0	0
HARLEQUIN_Yq11.221a	0	0	0	0	0	0
HARLEQUIN_Yq11.221b	0	0	0	0	0	0
HARLEQUIN_Yq11.221c	0	0	0	0	0	0
HERV3_11p14.1	0	2	3	2	2	2
