mock1_13	mock2_14	wt1_15	wt2_16	CoV_A549_mock3	CoV_A549_mock2	CoV_A549_mock1	CoV_A549_SARSCoV2_3	CoV_A549_SARSCoV2_2	CoV_A549_SARSCoV2_1
HARLEQUIN_18p11.22b	0	0	0	0	2	5	1	0	0	0
HARLEQUIN_19p12a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_19p12b	0	0	0	0	1	0	0	0	0	0
HARLEQUIN_19p12c	0	0	0	0	0	0	0	0	0	2
HARLEQUIN_19p12d	0	0	0	0	0	0	0	0	0	1
HARLEQUIN_19p12e	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_19p13.11	1	0	9	0	10	10	10	4	4	10
HARLEQUIN_19p13.2	1	0	0	0	0	0	0	0	0	0
HARLEQUIN_19p13.3	0	2	3	0	5	1	2	1	1	3
HARLEQUIN_19q13.41	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_1p13.2a	0	0	0	0	0	0	0	0	2	0
HARLEQUIN_1p13.2b	1	0	7	3	0	1	2	0	0	0
HARLEQUIN_1p22.1	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_1p22.2	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_1p33	0	1	0	0	0	0	0	0	0	0
HARLEQUIN_1p34.3a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_1p34.3b	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_1p35.3	0	3	3	0	2	7	4	2	2	9
HARLEQUIN_1p36.33	1	0	0	0	1	1	0	0	0	3
HARLEQUIN_1q21.2	0	0	0	0	0	0	0	0	1	0
HARLEQUIN_1q24.2	0	0	0	1	1	1	1	1	1	3
HARLEQUIN_1q24.3	0	0	2	0	0	1	0	0	1	1
HARLEQUIN_1q32.1	0	1	0	0	0	0	0	0	0	0
HARLEQUIN_1q32.3	0	2	5	0	5	3	1	2	5	1
HARLEQUIN_1q41	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_1q42.13a	0	0	0	0	1	1	1	0	2	0
HARLEQUIN_1q42.13b	0	0	2	0	0	0	0	0	0	1
HARLEQUIN_1q42.13c	2	16	18	3	20	20	14	27	25	71
HARLEQUIN_1q44	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_20p12.1	0	0	0	0	0	1	0	0	0	0
HARLEQUIN_20q13.32	0	0	0	0	1	0	0	0	0	0
HARLEQUIN_21q22.3a	2	2	0	0	4	2	2	4	9	17
HARLEQUIN_21q22.3b	0	1	1	0	0	0	0	0	0	5
HARLEQUIN_2p24.3	0	0	0	0	1	1	0	0	0	0
HARLEQUIN_2q11.2a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_2q11.2b	0	0	0	1	0	0	0	0	0	0
HARLEQUIN_2q12.2	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_2q12.3	3	1	3	1	4	1	5	3	16	19
HARLEQUIN_2q14.1	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_2q21.2	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_2q32.1	3	5	2	0	6	7	6	12	20	29
HARLEQUIN_2q33.3	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_2q34	0	1	0	0	1	0	0	0	0	0
HARLEQUIN_3p11.2	0	0	0	1	0	0	0	1	1	0
HARLEQUIN_3p12.3	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_3p24.3	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_3p26.1	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_3q22.1a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_3q22.1b	0	0	1	0	0	0	0	0	0	0
HARLEQUIN_3q22.1c	0	0	0	3	0	0	0	0	0	0
HARLEQUIN_3q22.2	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_3q26.1	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_4p12	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_4p14a	0	0	0	0	0	2	0	0	0	0
HARLEQUIN_4p14b	0	0	0	0	0	0	1	0	0	0
HARLEQUIN_4p15.2	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_4q13.2a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_4q13.2b	0	1	0	0	1	0	2	0	2	5
HARLEQUIN_4q13.3	0	0	0	0	0	1	0	0	0	0
HARLEQUIN_4q22.1a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_4q22.1b	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_4q24	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_4q26	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_4q28.2	0	0	2	0	0	0	0	0	0	0
