"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ERV316A3_13q21.32c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.32d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.32e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.33a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.33b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q22.2a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q22.2b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q22.3a" 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ERV316A3_13q22.3b" 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"ERV316A3_13q31.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q31.1b" 0 0 0 0 0 0 2 0 1 0 0 0 0 0
"ERV316A3_13q31.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
